GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,#,#,"5.035,11.965",#,#,#,"1.2274999999999998,3.3724999999999996",#,#,#,"42.7,107.7",#,"1.526,5.474",#,#,#,#,"1.821,3.3790000000000004",1.0,1.0,1.0,1,87.5210362262689,49941,41337,0.2631578947368421,0.0009758317367335207,135,135
#,#,#,"5.035,11.965",#,#,"-0.828,0.828",#,#,#,#,#,"1.3750000000000002,2.0482229003965444","0.7370000000000001,4.345000000000001",#,#,"1.225,2.975","-2.351601728885778,1.8597767579316218","1.7854999999999999,3.3120000000000003",1.0,1.0,1.0,1,97.51313651127045,49724,42103,0.3684210526315789,0.0010872404790788492,30,30
#,"25.433,43.367",#,#,"5.739999999999998,18.475",#,"-0.48299999999999993,1.068",#,"14.300000000000002,43.3","3.3135000000000003,7.0865",#,"42.7,107.7","0.012500000000000178,3.9875",#,"1.5040000000000004,11.296",#,#,#,#,1.0,0.8007081039652487,0.9565217391304348,1,75.15381596616297,49941,42290,0.42105263157894735,0.0008379411615604296,176,184
#,"6.229,9.829923409935143",#,#,"2.925,14.375",#,#,#,"-35.5,51.0",#,#,"42.7,45.430194034007414",#,#,#,#,"-0.27500000000000013,1.675","-0.5189999999999999,1.119",#,1.0,0.0665613143648006,0.9008620689655172,1,60.0,42452,42452,0.3157894736842105,0.0006689809299405649,0,0
#,"22.189999999999998,47.81",#,"4.4785,10.1215",#,#,"-0.828,0.8995884681711678",#,"-35.5,51.0",#,"8.058,12.341999999999999","42.7,90.1",#,"5.9030000000000005,10.697000000000001",#,"1.9210000000000003,6.479","0.5405794094122863,2.975","3.276,4.524",#,1.0,1.0,1.0,1,22.776,49662,42627,0.5263157894736842,0.0002539451610054384,7,7
#,#,"12.237499999999999,35.4875",#,#,"25.924,67.132","-0.6475,0.8995884681711678","-1.94,2.435421926728354",#,#,"6.7829999999999995,13.616999999999999",#,"1.845,6.014497231834932",#,#,#,#,#,"0.9075566827656851,3.8405",1.0,1.0,1.0,1,36.32433188004762,49877,42627,0.3684210526315789,0.00040500475534306613,36,36
"-5.487614822941606,47.845",#,#,"1.4150000000000003,3.8244999999999996","-2.395,9.195",#,#,#,#,#,#,"49.7,66.0","-0.03699999999999992,0.8975876353724147",#,"-0.8639999999999999,9.064","-0.27300000000000013,4.073",#,"-1.204,1.9559179406514564","0.8005,2.233",0.0,1.0,1.0,2,93.64546085815417,49762,42680,0.47368421052631576,0.0020882342496533583,66,66
"58.055,99.945",#,#,#,#,"42.296,55.932","0.5630000000000001,1.4369999999999998","-0.047499999999999876,4.047499999999999",#,"-1.9334999999999998,5.5755242914860865",#,"42.7,107.7",#,"0.21928857756479347,4.296",#,#,#,"-0.9869999999999999,1.587",#,1.0,0.5319741129384499,0.8814102564102564,1,81.18181092570475,49941,42751,0.42105263157894735,0.000905151389455618,275,312
"68.22,93.78",#,#,#,#,#,#,#,"-20.5,20.5","3.8375,5.7625","6.7829999999999995,11.305","42.7,100.2","1.845,6.014497231834932",#,#,#,"0.31249999999999994,1.0875","2.8175,4.1825","2.1595,3.8405",1.0,1.0,1.0,1,23.496,49877,42842,0.47368421052631576,0.0002619729321647252,7,7
#,"24.726999999999997,36.073",#,"0.6310000000000007,6.769","-2.395,16.82026084754048",#,#,"-1.7775000000000003,2.5775",#,#,#,"16.0,68.6","0.45200000000000007,2.148",#,"-3.656,7.02","2.737,10.263",#,#,#,0.0,0.03125,0.5,1,64.56031385600001,49963,42928,0.42105263157894735,0.0007198269800106937,7,14
"54.25,89.75",#,#,#,#,"45.096,62.904",#,#,#,#,#,"-24.925675529683982,56.585251256684","0.26049999999999995,2.5395","-2.0199999999999996,6.002134139458823","0.05021455991557078,4.662495308188306","-1.096,2.296",#,#,"-1.3404916980515358,1.2815",0.0,0.32178662871545805,0.7971014492753623,1,62.47222000552512,49641,43067,0.42105263157894735,0.000696545397245796,55,69
"23.7,66.3","7.590845287033723,28.332903216444656","-0.8375000000000004,12.775000000000002","-0.6789999999999998,3.4789999999999996","-1.1099999999999999,6.109999999999999","45.096,62.904","-1.5238349482855593,0.3105",#,#,"-1.5865,2.1935000000000002",#,#,"-0.6214999999999999,1.0215","-2.0199999999999996,6.002134139458823","-0.5,2.9",#,"0.34753676680881185,0.65",#,"-1.3404916980515358,1.2815",0.0,0.13789782521923413,0.6728395061728395,1,60.552900903977665,49926,43182,0.6842105263157895,0.0006751455992890309,109,162
"58.055,99.945","7.609999999999999,36.576980957071214",#,"-0.16699999999999982,6.367",#,"42.296,55.932","0.5630000000000001,1.4369999999999998","-0.047499999999999876,4.047499999999999","10.600000000000001,56.6","-1.9334999999999998,3.5335",#,"42.7,107.7","-0.784,2.184","0.21928857756479347,1.4392436904001866",#,#,"0.11249999999999993,1.0875","-0.9869999999999999,1.587",#,1.0,1.0,1.0,1,71.58872081427214,49886,43226,0.6842105263157895,0.0007981914837264541,41,41
#,"25.433,43.367","13.75,30.25","7.937654406696042,11.965",#,#,#,#,#,"2.844,5.271","2.7280000000000006,10.072","48.0,114.0","0.7220000000000002,3.4779999999999998","2.208,5.592",#,"-4.0847437390883545,5.733",#,#,"3.203,4.597",1,0.22301350200402018,0.7407407407407407,1,51.94267450500339,49917,43295,0.5263157894736842,0.000579144311565954,20,27
"25.345,68.655","-3.5860000000000003,28.332903216444656","-5.375000000000001,12.775000000000002",#,"-2.935,13.015","0.9133925361629558,40.1",#,#,#,#,#,#,"0.26049999999999995,2.5395",#,#,#,"-0.11250000000000004,1.1125",#,#,0.0,0.11138024371517521,0.6447058823529411,2,78.78454463186361,49981,43319,0.3684210526315789,0.001756845264425602,548,850
#,"10.79,36.410000000000004","1.5749999999999993,23.3875","2.385500000000001,11.965","7.56,17.44","37.668,67.132",#,"-2.2399999999999998,3.115","12.5,49.5",#,#,#,#,"1.443522691532525,5.474",#,#,#,#,"1.821,4.932579931395418",1.0,0.25206083685901487,0.7591036414565826,1,89.5271308537633,49941,43499,0.47368421052631576,0.0009981990542243535,271,357
"51.86,107.27",#,#,#,"-0.5200000000000005,16.86",#,#,#,#,#,#,#,"1.4775000000000003,4.2625",#,"4.656000000000001,12.543999999999999",#,"-1.3607539940171995,1.675","-0.2529999999999999,1.8597767579316218",#,1.0,0.42101120912331136,0.8411214953271028,1,88.82847178101292,49990,43508,0.3157894736842105,0.0010261675733784306,630,749
"20.473915034349165,104.98582558533758",#,#,"0.12900000000000045,5.8709999999999996",#,"55.932,62.764091892547555","-0.2014999999999999,1.2014999999999998","-0.047499999999999876,4.047499999999999","40.956643121697375,56.6","-0.47850000000000015,2.6785000000000005",#,#,"-0.784,2.184",#,#,#,#,#,#,0,0.03125,0.5,1,35.90156656640001,49926,43529,0.42105263157894735,0.00040029105646522284,7,14
