GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count 
"58.8,87.2",#,#,#,#,"40.876,61.19200000000001",#,"-1.551380737486241,1.0075",#,#,#,"51.900000000000006,80.9",#,#,#,"-3.122,4.82","-0.11250000000000004,1.1500000000000001",#,#,1.0,0.34670015221923506,0.8090787716955942,1,74.69907458300096,49994,47143,0.3157894736842105,0.0007584671071961165,606,749
"58.8,87.2",#,#,#,#,"40.876,61.19200000000001",#,"-1.551380737486241,1.0075",#,#,"-2.056,3.6559999999999997","51.900000000000006,80.9",#,#,"-2.732,7.332","-3.122,4.82","-0.11250000000000004,1.1500000000000001","-0.12649999999999995,0.9265",#,1.0,0.2741456430940156,0.77196261682243,1,62.12315301179795,49981,47145,0.47368421052631576,0.0006307757949853195,413,535
#,"1.407,27.393",#,#,#,#,#,"-0.745,0.945","45.15255841499342,68.5","-1.5565000000000002,3.7565000000000004",#,#,"0.38450000000000006,2.1635",#,#,#,"-0.15000000000000002,1.35",#,"0.061999999999999944,1.5380000000000003",1,0.3666478320532007,0.8181818181818182,1,65.1202266071343,49981,47166,0.3684210526315789,0.0006612069850984287,27,33
"-12.14,37.31899423524918",#,"-3.9625000000000004,8.9625",#,#,#,#,#,#,"-1.9180000000000004,3.3180000000000005",#,#,#,#,"-2.0880000000000005,4.9559999999999995",#,#,"-1.4235,0.9019999999999999",#,0.0,0.19894628365038092,0.7240143369175627,1,73.07781219049068,49962,47168,0.2631578947368421,0.0007420054012952383,202,279
#,#,"1.0124999999999993,7.380310272144927","0.8150000000000002,4.8294999999999995","3.39,8.235","29.828,53.572","-0.05999999999999994,0.9475",#,#,#,#,"61.0,144.75567217550432",#,"-1.1450000000000002,5.744",#,#,#,#,"-0.5145000000000003,2.3145000000000002",1,0.0712812457761296,0.5896510228640193,1,70.75876664283841,49967,47171,0.42105263157894735,0.0007184586602170815,490,831
#,#,#,"5.09203477173228,7.522499999999999","7.659999999999999,13.739999999999998","30.335999999999995,50.263999999999996",#,#,#,#,#,#,#,#,#,"-1.057,6.257",#,#,#,1.0,0.8613409880361191,0.9705882352941176,1,88.62742368083934,49986,47172,0.21052631578947367,0.0008938679060730528,99,102
#,#,"-7.625000000000002,10.8125",#,#,#,#,"0.8300000000000001,5.6919484006662255","-34.19671495435826,31.83087083200925",#,#,#,"-1.561,2.3609999999999998",#,"-1.916,4.472",#,#,#,#,0.0,0.09792634070770859,0.6283185840707964,1,79.63359125430443,49914,47192,0.2631578947368421,0.0008085703863329409,142,226
"26.215,73.785",#,"12.0875,25.9125",#,"1.7699999999999996,13.74",#,#,#,"-25.0,25.0",#,"4.57,5.848","38.900000000000006,99.1","-0.8765301190768438,2.7815","-2.5372626993861935,8.944",#,"-2.6329999999999996,3.643",#,"1.2225000000000001,2.9775","0.724,3.676",0.0,0.001903968584518355,0.2857142857142857,1,64.6,49207,47197,0.5789473684210527,0.0006559247942278955,2,7
"-12.14,23.005000000000003","5.648,21.752",#,"-1.9629999999999994,5.3629999999999995",#,"33.369456859277605,49.34400000000001","-0.37049999999999994,1.1705",#,#,"-2.095,3.2950000000000004","-0.2869999999999997,3.487",#,"-0.38049999999999995,1.5804999999999998","0.2260000000000002,3.9430000000000005",#,#,#,#,#,0.0,1.0,1.0,1,92.98092916394289,49831,47214,0.47368421052631576,0.0009440943781575507,24,24
"42.795,93.205","-5.597,15.997","2.7750000000000004,11.025",#,"-4.044999999999999,9.445","52.343999999999994,68.456","-0.48299999999999993,0.48299999999999993","-0.6387356545250001,3.7619710589313056",#,"-2.0104999999999995,3.6105",#,"-21.703164198004583,89.65885854318711","-0.23949999999999994,2.0395",#,#,#,"-0.4625000000000001,0.8625","-2.0256653893538012,1.0555",#,0.0,0.05596287125058509,0.5617977528089888,1,50.79631603665907,49977,47227,0.631578947368421,0.0005157672313294234,50,89
"66.09,115.44387410932532",#,#,#,#,"39.56399999999999,64.87766687502697",#,#,"-15.0,15.0","-0.2015,2.8015",#,#,"1.2220000000000002,3.9779999999999998","0.40507264868031817,3.745",#,#,"-0.9777608420906284,1.0125",#,"-0.8020514343893109,1.7355",1.0,0.7258627849819627,0.9379310344827586,1,82.311031838272,49925,47242,0.42105263157894735,0.0008357561396471258,136,145
#,#,#,#,#,#,#,#,#,#,"-0.7109999999999999,7.168",#,#,"0.2370000000000001,2.963",#,#,"1.2375,2.7375",#,"2.083,4.876",1.0,0.8593948953206157,0.9701492537313433,1,85.84035103778763,49868,47257,0.21052631578947367,0.0008715915571348478,65,67
"-12.14,48.975",#,#,#,#,#,#,#,#,#,#,#,#,"-1.4500000000000002,3.25",#,#,"0.04999999999999993,1.35",#,#,0.0,0.09742564565183336,0.6276747503566333,1,69.29650674764855,49989,47265,0.15789473684210525,0.0007551322357919887,440,701
"38.085,115.44387410932532",#,#,"1.8250000000000002,6.7749999999999995",#,"40.876,59.540000000000006","0.7707610393777689,1.536","3.2924999999999995,5.3075",#,"0.8445,1.28644801472818","-2.2190000000000003,4.611",#,"0.1050000000000001,1.6949999999999998",#,"-0.09600000000000009,2.768",#,"-0.1875,1.1875","-0.6944999999999999,1.6284999999999998",#,1.0,1.0,1.0,1,62.2,49817,47270,0.5789473684210527,0.0006315560712225249,5,5
"-12.14,63.010000000000005",#,#,#,#,"34.04,46.76",#,#,"-18.314485642361966,31.83087083200925",#,#,"43.7,94.7","-0.9455,0.7889999999999999",#,"-5.075825086404054,3.936",#,"-0.4625000000000001,1.35",#,#,0.0,0.11556972395393464,0.6494845360824743,1,84.33681920475405,49999,47271,0.3684210526315789,0.0008622570463888553,252,388
"68.285,91.715",#,#,#,"1.7699999999999996,16.37",#,"0.6170000000000002,1.583","0.9489291767438162,5.51","8.499999999999996,64.5","2.691,5.6565",#,"58.701277486113476,100.0","0.38592917231866963,2.7815","-2.5372626993861935,8.373442883190988","2.596,9.804","2.0745414301204983,5.151",#,#,#,0.0,0.0003200000000000001,0.2,1,91.84153599999999,49285,47275,0.5789473684210527,0.0009325253963215767,2,10
"42.795,93.205",#,"2.7750000000000004,11.025",#,"-4.044999999999999,9.445","52.343999999999994,88.31017497477735",#,"-1.6575,1.6575",#,#,#,"-21.703164198004583,58.4",#,#,#,#,"-0.4625000000000001,0.8625","-2.0256653893538012,1.0555",#,0.0,0.3821815722656249,0.825,1,55.47623677433641,49977,47277,0.42105263157894735,0.0005632854363892356,33,40
"52.125,52.29747946175394",#,#,"0.8150000000000002,1.5316330627480403",#,#,#,#,#,#,"-0.6949999999999998,7.341056720797379",#,#,"0.44499999999999984,5.744","-1.036,3.7520000000000002",#,#,#,#,0.0,0.1,1.0,1,77.74399571520023,47284,47284,0.2631578947368421,0.0007893841237143514,0,0
#,#,#,#,#,#,"-0.736,0.736",#,#,"-0.6935,1.6935",#,"80.5,119.5",#,"-0.04500000000000015,3.245","-0.9600000000000009,10.527999999999999",#,"-0.03749999999999998,1.6375000000000002","0.39800000000000013,1.802",#,1.0,1.0,1.0,2,78.4580096,49724,47285,0.3684210526315789,0.0015932679195792647,11,11
"-12.14,76.07358438094263",#,#,#,#,"17.518504059865123,31.612000000000002","-0.8394999999999999,0.9795",#,"-28.999999999999996,28.999999999999996","-1.8479999999999999,1.8479999999999999","-3.1700000000000004,3.97",#,#,"0.412971909395377,2.669",#,#,"-0.14999999999999997,0.75",#,"-0.3660000000000003,3.5709999999999997",0.0,1.0,1.0,1,104.85902535495758,49789,47289,0.47368421052631576,0.0010647002264533782,32,32
#,"0.8099999999999996,11.79","-7.625000000000002,7.380310272144927","-0.38499999999999956,2.585","-3.4000000000000004,8.0","17.518504059865123,31.612000000000002","-0.8394999999999999,0.9795","0.8300000000000001,5.6919484006662255",#,#,"-0.6259999999999999,4.166",#,"-1.649,2.3609999999999998","-0.5800000000000001,2.4330000000000003",#,#,#,#,#,0.0,0.27550608968587587,0.7727272727272727,1,102.5162552872411,49789,47289,0.5263157894736842,0.0010409125952677712,17,22
#,"19.450000000000003,47.333",#,#,"12.585,19.615000000000002",#,"-0.31439969929786776,0.8704999999999999","-1.2025,1.2025",#,#,#,#,#,"6.796000000000001,10.680000000000001",#,#,#,#,#,1.0,0.2994492622121735,0.7857142857142857,1,38.9555707904,49630,47296,0.2631578947368421,0.00039554063087807027,11,14
#,#,#,#,#,"41.588,53.937304468721905",#,"-1.2025,1.3325",#,#,#,#,#,#,#,#,#,#,#,1,0.20459050985515878,0.7280766396462786,1,78.73874669870933,49994,47297,0.10526315789473684,0.0007912060681264673,988,1357
"-12.14,48.975",#,"12.0875,19.512500000000003","2.2250000000000005,7.175",#,#,#,#,#,#,"0.952,5.848","58.701277486113476,99.1","-3.4572600256898753,2.2079999999999997","-2.5372626993861935,7.020362389031726","-2.2439999999999998,5.643999999999999",#,#,#,#,0.0,1.0,1.0,1,52.75,49318,47308,0.42105263157894735,0.0005356042243888776,4,4
"-12.14,35.65",#,"2.8625,11.9375","-0.3204999999999991,5.520499999999999","-2.695,8.895",#,#,#,"15.0,58.0",#,#,"43.2,90.2","-1.4224999999999999,1.1374865292756704",#,"-1.916,4.472",#,#,"-0.12829421571382205,1.258",#,0.0,0.28699990784712964,0.7790697674418605,1,82.55563164401563,49874,47310,0.47368421052631576,0.0008382397166943482,67,86
#,#,#,"2.6655000000000006,5.7345",#,#,#,#,"7.100000000000001,57.1",#,"-2.2190000000000003,8.519",#,#,"4.367,8.033000000000001","7.328000000000001,10.296850728889213",#,"-0.11250000000000004,1.6875","0.11750000000000005,1.6284999999999998",#,1.0,1.0,1.0,2,81.63823392942535,49894,47341,0.3684210526315789,0.001657849591061521,22,22
"17.155,44.845",#,#,#,#,#,#,#,#,"-1.04,3.572",#,"43.2,90.2","-1.4224999999999999,1.1374865292756704",#,#,#,#,#,"-1.1095,0.2527498006418929",0.0,1.0,1.0,1,85.14355313868799,49962,47344,0.2631578947368421,0.0008645165258873965,16,16
"63.185,100.815",#,#,#,"2.0249999999999995,10.575","38.9,59.957578426489476",#,#,#,#,#,"80.5,119.5",#,#,#,"2.832,8.768",#,#,#,1.0,0.2693290743429045,0.7692307692307693,1,79.98107030379067,49355,47345,0.2631578947368421,0.0008120985616275658,30,39
"67.445,100.815",#,#,"6.933,13.466999999999999",#,"38.9,59.957578426489476",#,"-1.5125000000000002,2.8925",#,#,"6.856,11.344",#,#,"2.8549999999999995,6.1450000000000005",#,#,#,"0.16149999999999998,1.248","2.9085,5.4915",0,0.0,0.0,1,36.0,47353,47353,0.42105263157894735,0.000365530845080561,0,2
#,#,#,#,#,#,#,"-1.5125000000000002,2.8925",#,#,"6.856,11.344","80.5,119.5",#,"2.8549999999999995,6.1450000000000005","3.032,9.968",#,#,"0.16149999999999998,1.248","2.9085,5.4915",1.0,1.0,1.0,1,36.0,49363,47353,0.3684210526315789,0.000365530845080561,2,2
"51.025,115.44387410932532",#,#,#,#,#,#,#,#,#,"-1.3619999999999999,4.962","58.71647045085098,96.5","1.2220000000000002,3.9779999999999998",#,"1.592,5.808",#,#,#,#,1.0,0.43955597777106886,0.848404255319149,1,70.10061392587484,49995,47360,0.2631578947368421,0.0007117760180275326,319,376
#,"17.986000000000004,39.214",#,#,#,#,#,"-1.551380737486241,1.105",#,#,"-3.2700000000000005,5.510999999999999",#,#,#,#,"-2.157,5.862","0.45,1.1500000000000001","0.11750000000000005,1.802",#,1.0,0.3264735211930215,0.799410029498525,1,83.58557202396807,49994,47362,0.3157894736842105,0.0008486973549573096,271,339
"-12.14,83.65","2.318532903894063,36.87359129449017","-7.625000000000002,19.21132914809487",#,#,"20.588,39.57077567240506","0.10100000000000003,0.6990000000000001",#,#,#,"-1.383,4.966","62.2,88.2",#,#,#,#,"-0.22500000000000003,0.4939886085315348",#,#,0.0,0.27550608968587587,0.7727272727272727,1,82.13143811504239,49955,47402,0.42105263157894735,0.00083393261060759,68,88
"-12.14,63.010000000000005",#,#,#,#,#,"-0.8394999999999999,0.8394999999999999",#,#,"-0.5405000000000002,3.572",#,"52.7,88.7",#,"-2.5372626993861935,2.474","-3.596,8.089068288908035",#,#,"0.9175000000000001,2.2825","0.3234999999999999,1.894622829565324",0.0,0.0054766078555798245,0.35294117647058826,1,47.455657029632,49413,47403,0.42105263157894735,0.00048184740049707364,6,17
#,#,#,#,#,#,"-0.506,0.506",#,"45.15255841499342,68.5",#,#,#,#,#,#,#,"-0.15000000000000002,1.35","-1.2455,1.4675","0.038999999999999924,1.7610000000000001",1.0,0.4128571866759781,0.8378378378378378,1,64.80664711167363,49981,47412,0.2631578947368421,0.0006580230134879933,31,37
#,#,#,#,#,#,#,#,"4.700000000000003,51.0","0.8520000000000003,4.548","-0.7109999999999999,7.168","89.8,92.94209660475475",#,#,#,#,"1.2375,2.7375",#,#,1.0,0.1,1.0,1,71.75,47413,47413,0.2631578947368421,0.0007285232815147292,0,0
#,#,"7.7625,21.2375","5.09203477173228,7.522499999999999",#,#,"0.8223353344765132,2.444",#,#,#,#,#,#,"0.2370000000000001,2.963",#,#,#,#,"2.083,4.876",1.0,1.0,1.0,1,75.11181565132799,49878,47413,0.2631578947368421,0.0007626579291823675,16,16
"-38.077669229891555,55.66883533554335",#,"-3.3,9.899999999999999","-1.7204999999999993,1.2527424078626193",#,#,#,"-1.425,2.2811573165813113",#,#,#,#,#,"-5.181777990524624,7.751566920886994",#,#,#,"0.8019999999999999,1.0254048040316328",#,0.0,1.0,1.0,1,48.333333333333336,49440,47414,0.3157894736842105,0.0004907590049692717,3,3
#,#,#,"5.09203477173228,7.522499999999999",#,"34.952,57.848",#,#,"23.0,51.0",#,#,#,"0.4655,4.3345","0.2370000000000001,2.963",#,#,#,#,#,1.0,0.839073812978493,0.9655172413793104,1,84.51574104293572,49965,47424,0.2631578947368421,0.0008581419512787262,56,58
"-12.14,19.630215970086148","5.648,21.752",#,#,#,#,"-0.37049999999999994,1.078025506319763",#,#,"-2.095,3.2950000000000004",#,#,"-0.4874999999999998,3.4875","0.2260000000000002,3.9430000000000005",#,#,#,#,#,0.0,1.0,1.0,1,90.6756915090719,49831,47425,0.3157894736842105,0.0009206878373770916,23,23
#,#,#,"-1.7204999999999993,1.2527424078626193",#,#,#,#,#,"-0.5395000000000001,1.5395",#,#,#,"-5.181777990524624,7.751566920886994",#,#,#,"0.8019999999999999,1.0254048040316328",#,0.0,1.0,1.0,1,51.25,49440,47430,0.21052631578947367,0.0005203737725105209,4,4
"52.125,118.89330680598417",#,"-7.625000000000002,8.2",#,"-5.844999999999999,10.89","18.695999999999998,64.87766687502697","-0.475,0.6749999999999999","0.8300000000000001,5.6919484006662255","13.600000000000001,48.6",#,"-2.949080348310108,3.895","80.5,119.5",#,#,#,"-2.0380000000000003,2.838",#,#,#,1.0,0.06754356352880661,0.5833333333333334,1,62.64334848000001,49443,47433,0.5263157894736842,0.0006360576696825133,7,12
#,#,#,#,#,#,#,#,"-28.500000000000004,15.0",#,#,#,"1.2220000000000002,3.9779999999999998","0.5269999999999997,4.886",#,#,"-0.0625,1.0125","0.0030000000000000027,1.7970000000000002","-0.8020514343893109,1.7355",1.0,0.2105333091809115,0.7322580645161291,1,60.20980602129315,49925,47443,0.3157894736842105,0.0006113483688083315,227,310
#,"0.75,19.05",#,#,#,#,"0.355,1.045",#,"32.2,73.8",#,#,"7.8181943664968045,13.587771194481142",#,"1.932,5.649000000000001","1.1180986389324383,10.527999999999999",#,#,"-0.524,0.724",#,1.0,0.1,1.0,1,42.5,47445,47445,0.3684210526315789,0.0004315294698867734,0,0
#,"32.18,46.82","14.05,24.515963511928007","6.734999999999999,9.0185","12.684999999999999,19.715","37.26,56.339999999999996",#,#,"5.0,53.0",#,#,#,"2.4429214427473873,4.131",#,#,"2.1370000000000005,6.768",#,#,#,1.0,1.0,1.0,1,69.51904,49708,47472,0.42105263157894735,0.0007058709288997035,9,9
"66.09,115.44387410932532",#,#,#,#,#,#,#,#,"-0.2015,2.8015","-1.1190000000000002,5.9190000000000005",#,"1.2220000000000002,3.9779999999999998","0.40507264868031817,3.745",#,#,"-0.9777608420906284,1.0125",#,"-0.8020514343893109,1.7355",1.0,0.5549289573066435,0.8888888888888888,1,79.55740670116737,49995,47478,0.3684210526315789,0.000807796836219322,184,207
#,#,#,#,#,"33.708,61.69200000000001",#,#,"-3.6999999999999993,44.3",#,"-0.7109999999999999,7.168",#,#,#,"-0.14400000000000013,3.136",#,"1.2375,2.7375","-1.0115,1.2115000000000002",#,1.0,0.6318913929089809,0.9122807017543859,1,77.1274565636826,49904,47483,0.3157894736842105,0.0007831240104621434,52,57
"-12.14,44.845",#,#,#,"3.39,10.165",#,"-0.414,0.414",#,"15.0,31.83087083200925",#,#,"29.200000000000003,90.2",#,#,"-3.596,4.472",#,#,#,#,0.0,0.24622492641704344,0.7555555555555555,1,107.92049835277513,49874,47490,0.3157894736842105,0.0010957853045668107,34,45
"59.28,115.44387410932532",#,"1.9749999999999996,16.825000000000003",#,#,"39.928,53.072","0.7707610393777689,1.536",#,#,#,#,"66.2,92.2","-1.408,2.408",#,"-0.09600000000000009,2.768","-4.764876662894079,2.984",#,"-0.3825,0.9824999999999999","-0.5275000000000002,2.5020000000000002",1,0.7574109882422775,0.9459459459459459,1,80.9238923806728,49967,47492,0.5263157894736842,0.0008216716324754361,35,37
#,"22.368999999999996,43.230999999999995","4.324999999999999,13.675",#,#,#,#,#,#,#,"-1.3619999999999999,4.962",#,#,#,#,"-5.844206302539304,4.08","1.2375,3.8370566715090533","-0.8945,1.0945",#,1.0,0.48894551440329226,0.8666666666666667,1,83.47324645539385,49936,47499,0.3157894736842105,0.0008475568421793904,39,45
"-12.14,48.975",#,#,"-0.8304999999999998,3.0305",#,"36.464,48.336","-0.529,0.8394999999999999",#,#,#,#,"58.701277486113476,62.2","-0.9455,2.2079999999999997",#,#,"-1.2139999999999997,3.8329999999999997",#,#,#,0.0,0.5674268557185995,0.8928571428571429,1,85.4548514646701,49909,47506,0.3684210526315789,0.0008676773353365188,25,28
"66.09,115.44387410932532",#,#,"2.228,7.772",#,"31.624000000000002,62.036","-0.567,1.8191639963198587",#,"-28.500000000000004,15.0",#,#,"35.0,89.0","1.2220000000000002,2.3677152719414623",#,#,"-3.3219999999999996,4.521999999999999",#,#,#,1.0,0.6157210062743056,0.907563025210084,1,94.79935903949661,49986,47544,0.42105263157894735,0.0009625580506334087,108,119
#,"6.404999999999999,30.195","-0.8250000000000002,28.425",#,#,"41.588,53.937304468721905",#,#,"45.15255841499342,68.5",#,#,"50.599999999999994,89.6","-0.9634999999999999,2.1635",#,#,"-2.664755781935898,2.72","-0.15000000000000002,1.35","-1.2455,1.4675",#,1.0,1.0,1.0,1,68.67636351835614,49981,47558,0.47368421052631576,0.0006973146998312369,28,28
"64.25,100.815",#,#,#,#,#,#,"-1.551380737486241,2.8925",#,"0.5055000000000001,4.894500000000001",#,"51.900000000000006,89.6",#,#,#,"0.3740000000000001,4.8260000000000005","-0.11250000000000004,1.1500000000000001",#,"2.5774999999999997,3.2330000000000005",1.0,0.6590815232000001,0.92,1,80.20324281762979,49582,47562,0.3684210526315789,0.0008143544201480458,23,25
#,#,#,#,"12.559999999999999,19.715",#,#,#,"-11.5,61.5",#,#,"59.599999999999994,80.9",#,#,#,#,#,"0.3640000000000001,2.2359999999999998",#,1.0,0.5809043271225994,0.8970588235294118,1,68.25116873372669,49965,47562,0.21052631578947367,0.0006929974273604189,61,68
"-12.14,48.975","4.975999999999999,15.224",#,#,#,"23.056,49.34400000000001",#,"-1.945,2.345","-28.999999999999996,31.83087083200925",#,"-1.3359999999999999,2.336","44.5,103.2","-0.38049999999999995,1.5804999999999998",#,#,"0.575,3.682734883359999",#,#,#,0.0,0.29736106072562635,0.7846153846153846,1,90.61502323403326,49869,47567,0.47368421052631576,0.0009200718338814124,102,130
"67.445,100.815",#,#,#,#,"31.624000000000002,53.5",#,#,#,#,#,"80.5,92.85736504826349",#,#,#,#,#,#,#,1.0,0.3744986784261673,0.821656050955414,1,78.3267306418555,49988,47574,0.15789473684210525,0.0007953010012198587,129,157
#,#,#,#,#,#,#,#,#,#,"-0.7109999999999999,4.962",#,"-0.6779999999999999,2.195",#,#,#,#,"-0.8945,1.0945","2.083,5.117",1.0,0.30038915243997305,0.7862068965517242,1,76.24291728820775,49993,47579,0.21052631578947367,0.0007741427218823859,114,145
"32.06,32.5616949862044",#,#,#,"7.245,16.555",#,#,"2.5999999999999996,5.2","13.3,38.3","-0.9859999999999999,2.7945","-0.901,4.301",#,#,#,#,"-5.0110393512362625,4.021000000000001",#,"-0.5045000000000001,0.7045",#,1,0.1,1.0,1,49.0,47586,47586,0.42105263157894735,0.0004975280946929858,0,0
#,#,"2.5874999999999995,16.6125","1.1755000000000004,6.2245","4.58,15.22",#,#,#,#,#,"0.2320000000000002,7.168",#,"3.7894999999999994,6.8105","2.4090000000000003,8.261",#,"-3.122,4.82","0.45,1.125",#,#,1.0,1.0,1.0,1,51.352,49791,47588,0.42105263157894735,0.0005214094432382491,7,7
#,#,#,#,#,#,#,"-1.551380737486241,1.0075",#,#,#,#,#,#,#,#,"-0.11250000000000004,1.1500000000000001",#,"1.3415,2.8585000000000003",1.0,0.26242148505020524,0.7652439024390244,1,81.55959032305894,49994,47588,0.15789473684210525,0.0008281262770892244,251,328
#,#,#,#,#,#,#,#,#,#,#,#,"1.2220000000000002,3.9779999999999998","0.8779999999999999,3.322","1.048,9.961302154740732",#,"0.6913475774601663,1.325","-0.6944999999999999,1.8385",#,1.0,0.44370531249999995,0.85,1,81.88564807845512,49965,47602,0.2631578947368421,0.0008314369483913088,136,160
"64.735,95.265","25.367000000000004,44.033","6.012500000000001,22.7875","5.09203477173228,9.0185",#,#,#,"-1.3049999999999997,7.24","4.700000000000003,77.7",#,#,#,#,#,"0.31599999999999984,5.484",#,#,#,#,1.0,0.7266885047338354,0.9381443298969072,1,80.422830837258,49965,47609,0.3684210526315789,0.00081658403665872,91,97
"68.865,95.135",#,"18.925,28.425","8.120999999999999,12.212499999999999",#,#,#,#,#,#,#,#,#,"6.702000000000001,9.898000000000001",#,#,#,#,#,1.0,1.0,1.0,1,34.2656,49630,47620,0.21052631578947367,0.0003479203812553464,8,8
"52.125,118.89330680598417","-3.0760000000000005,41.344",#,"0.6645000000000003,3.5355",#,"18.695999999999998,66.28547294559934","-0.8624999999999999,0.6749999999999999",#,"-34.0,71.5",#,#,"80.5,119.5",#,#,#,"-2.0380000000000003,2.838",#,#,#,1.0,0.2278137396050989,0.7439024390243902,1,72.89786371840285,49988,47623,0.42105263157894735,0.0007401782702654267,61,82
"-12.14,60.892947098646246",#,"-3.4125000000000005,15.0125","0.7755000000000001,5.8245",#,#,"-0.11299999999999999,1.313",#,#,#,"-1.3599999999999997,4.76",#,"-0.8514999999999999,1.0043017658781324",#,"-3.7475533996070816,4.9559999999999995","-1.6329999999999996,4.833","0.8875,1.5125",#,"-0.8145000000000003,2.0145000000000004",0.0,1.0,1.0,1,77.62125934324592,49710,47657,0.5263157894736842,0.0007881379034431688,25,25
"52.125,71.53555799850108","1.673,26.927","-7.625000000000002,0.6965530582560886","-0.3334999999999999,1.5316330627480403",#,#,#,"0.8300000000000001,5.6919484006662255","-31.5,31.5",#,#,#,"-0.41300000000000003,1.813",#,"-1.552,6.036",#,#,#,#,0.0,0.1,1.0,1,79.06767104000001,47659,47659,0.42105263157894735,0.0008028242392723056,0,0
#,#,#,#,#,#,"-0.506,0.506",#,"45.15255841499342,68.5",#,#,#,"-1.261,2.6609999999999996","-2.1610000000000005,3.761",#,#,"-0.15000000000000002,1.35","-1.2455,1.4675","0.038999999999999924,1.7610000000000001",1.0,0.39052583328375096,0.8285714285714286,1,64.80041779739592,49981,47662,0.3684210526315789,0.0006579597633070988,29,35
#,"25.367000000000004,44.033","7.7625,22.7875","5.09203477173228,7.522499999999999",#,"34.952,57.848",#,#,#,"0.621,4.779",#,#,#,#,"0.31599999999999984,5.484",#,#,#,#,1.0,0.6674702338765139,0.9223300970873787,1,81.42018594701251,49965,47682,0.3157894736842105,0.0008267108159952195,95,103
#,#,#,#,#,"40.876,61.19200000000001",#,#,#,"1.452,5.148","0.7130000000000003,4.487","47.400000000000006,120.4",#,"-1.5550000000000002,2.875",#,"-5.844206302539304,4.82","-0.11250000000000004,1.125",#,#,1.0,0.21450464220937498,0.735,1,77.94558682663401,49988,47705,0.3684210526315789,0.0007914310061955493,147,200
#,"-3.0760000000000005,21.169",#,#,"3.1649999999999996,9.435",#,"-0.8624999999999999,1.5015",#,"16.5,71.5","-0.6935,1.6935",#,#,#,#,#,#,#,#,#,1.0,0.06039255068700521,0.5704225352112676,1,63.84364369123953,49995,47714,0.2631578947368421,0.0006917741635004539,324,568
#,"5.431000000000001,41.344",#,"0.6645000000000003,3.5355",#,"41.588,66.28547294559934",#,#,"-34.0,44.5",#,#,"80.5,119.5","-0.9634999999999999,2.1635",#,"-0.9600000000000009,10.527999999999999",#,"-0.42500000000000004,1.6375000000000002","0.39800000000000013,1.802",#,1.0,0.534824985896467,0.8823529411764706,1,80.98912300564481,49845,47714,0.47368421052631576,0.0008223339604051903,15,17
"-12.14,76.07358438094263",#,#,#,"-1.715,5.315","17.518504059865123,31.612000000000002",#,#,#,#,#,"55.5,130.27501894787616",#,"-2.5372626993861935,3.9430000000000005",#,#,"-0.14999999999999997,0.75",#,#,0.0,0.4234790289079717,0.8421052631578947,1,102.95465856607561,49789,47733,0.3157894736842105,0.0010453639819621731,32,38
#,"25.104999999999997,48.895",#,#,"11.900000000000002,23.3",#,"0.8125000000000001,1.3875000000000002","1.135,3.54713569161508","5.600000000000001,58.6",#,"3.599,8.801",#,"0.8280000000000001,3.372",#,#,"-0.643,2.643",#,"-0.948,1.548","2.5059999999999993,5.2940000000000005",0.0,0.010240000000000003,0.4,1,31.6,49748,47738,0.5263157894736842,0.000320854852904048,2,5
#,#,#,#,#,#,"-0.6705,0.8704999999999999",#,#,#,"-1.6089999999999995,4.408999999999999",#,#,#,#,"-2.0940352454546076,6.768",#,#,#,1.0,0.07683539696534863,0.5985663082437276,1,73.47262351890672,49995,47743,0.15789473684210525,0.0008107166266431333,1169,1953
#,#,#,#,#,"17.095999999999997,45.504000000000005","-0.2105,0.4105","0.024999999999999467,7.571011868547416",#,#,#,"40.6,69.6","-0.9455,1.548",#,#,"4.698,8.302","1.0625,2.3375",#,#,0.0,1.0,1.0,1,66.5,49785,47775,0.3684210526315789,0.0006752166999404808,2,2
#,#,"2.5874999999999995,16.6125","0.3805000000000005,6.419499999999999","4.58,15.22",#,#,#,#,#,"0.2320000000000002,7.168",#,#,"4.367,8.261",#,"-3.122,4.82","-0.11250000000000004,1.125",#,#,1.0,0.8407778615901976,0.9659090909090909,1,78.62015683251391,49994,47781,0.3684210526315789,0.0007982803435376403,85,88
#,#,"-3.637500000000001,12.037500000000001",#,"-3.4321640923119174,7.645",#,"-0.6325,0.6325",#,"-34.19671495435826,31.83087083200925",#,"-0.6259999999999999,0.4828598119216707","-21.703164198004583,74.0","-1.561,2.3609999999999998","-1.1450000000000002,2.1450000000000005","-3.8880000000000003,5.088","-3.045,3.8449999999999998","-0.23750000000000004,0.6375000000000001",#,#,0.0,0.3213298050686717,0.796875,1,76.87727062561194,49989,47785,0.5789473684210527,0.0007805837138685255,51,64
#,#,#,"5.09203477173228,7.522499999999999",#,#,#,#,#,#,#,#,"0.019500000000000073,4.3345","-1.5550000000000002,2.963",#,#,#,"-1.0895,1.2895",#,1,0.7631229607539922,0.9473684210526315,1,85.24550576280984,49965,47792,0.21052631578947367,0.0008655517155777698,72,76
